Name,Address,Rooms,District,AGA Division,PS/MC/UC,Logitiute,Latitude,,,,,,,,,,,,,,,,
ROCK VILLA,"NEELISGEWATTA,ALAWATHUGODA,BENTOTA.",7,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.9973733,6.41358,,,,,,,,,,,,,,,,
MIRAGE KINGS COTTAGE,"NO 111, HAVELOCK DRIVE, OFF UPPER LAKE ROAD,NUWARAELIYA.",11,Nuwara Eliya,Nuwara Eliya,Nugegoda Divisional Secretariat,80.7723742,6.9641218,,,,,,,,,,,,,,,,
DUNKELD BUNGALOW,"DUNKEL BUNGALOW, DANKELD ESTATE, DICKOYA",5,Nuwara Eliya,Ambalantota Pradeshiya Sabha,Ambalangoda Divisional Secretariat,80.572933,6.858082,,,,,,,,,,,,,,,,
SUMMERVILLE,"TEA TRAILS (PVT) LTD, SUMMERVILLE BUNGALOW, SUMMERVILLE, DICKOYA, HATTON.",5,Nuwara Eliya,Ambagamuwa Pradeshiya Sabha,Ambagamuwa Divisional Secretariat,80.580983,6.867271,,,,,,,,,,,,,,,,
MIRISSA HILLS,"HENWALA ROAD, HENWALA, MIRISSA",8,Matara,Galle,Galle Divisional Secretariat,80.465105,5.963842,,,,,,,,,,,,,,,,
WILD GRASS NATURE RESORT,SIGIRIYA,5,Matale,Matale,Matale Divisional Secretariat,80.724371,7.904267,,,,,,,,,,,,,,,,
NORWOOD BUNGALOW,"TEA TRAILS,NUWARA ELIYA.",5,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.60413,6.834541,,,,,,,,,,,,,,,,
VILLA SAFFRON,"NO,776,GALLE ROAD,THIRANGAMA,HIKKADUWA",5,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.1137,6.12222,,,,,,,,,,,,,,,,
MOUNT HAVANA LUXURY BOUTIQUE VILLA,"P.O. BOX. 28, WATTAHENA, GAMPOLA.",5,Kandy,Gampola,Udapalatha Divisional Secretariat,80.599521,7.144944,,,,,,,,,,,,,,,,
LAKE LODGE BOUTIQUE HOTEL,"16,DIVISION,WEWA ROAD,KANDALAMA,DAMBULLA",6,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.690316,7.863126,,,,,,,,,,,,,,,,
MOUNT BATTEN BUNGALOW,"BOWALAWATTA,WAITRARAMA,ARANVA ROAD,KANDY",3,Kandy,Kandy,Kandy Divisional Secretariat,80.619447,7.255123,,,,,,,,,,,,,,,,
ELLERTON HOTEL,"NAWA GURUKELLE, DOLUWA, GAMPOLA",5,Kandy,Gampola,Gampola Divisional Secretariat,80.629261,7.187229,,,,,,,,,,,,,,,,
ROSYTH ESTATE HOUSE,"ROSYTH ESTATE,PUSSELLA,KEGALLE",7,Kegalle,Kegalle,Kegalle Divisional Secretariat,80.352821,7.276954,,,,,,,,,,,,,,,,
ERAELIYA VILLAS AND GARDENS,"NO : 299,WALLIWALA,KAPPARATOTA,WELIGAMA.",7,Matara,Matara,Weligama Divisional Secretariat,80.413849,5.958113,,,,,,,,,,,,,,,,
