Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
CINNAMON GRAND HOTEL,"NO. 77, GALLE ROAD, COLOMBO 03",501,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.849235,6.918034
CINNAMON LAKESIDE COLOMBO,"115, SRI CHITAMPALAM A GARDINER MAWATHA, COLOMBO 02",352,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.849414,6.929273
CINNAMON LODGE,"P.O. BOX 02, HABARANE",162,FIVE,Anuradhapura,Anuradhapura,Anuradhapura East,80.74881,8.034584
GALADARI HOTEL,"NO. 64, LOTUS ROAD, COLOMBO 01",408,THREE,Colombo,Colombo,Colombo Divisional Secretariat,79.843155,6.931679
EDEN RESORTS AND SPA,"KALUWAMODARA, BERUWALA",158,FIVE,Kalutara,Kalutara Pradeshiya Sabha,Kalmunai Divisional Secretariat,79.990213,6.444585
HERITANCE KANDALAMA,"P.O. BOX 11, DAMBULLA.",162,FIVE,Matale,Matale,Matale Divisional Secretariat,80.70784,7.871055
TAJ SAMUDRA HOTEL,"NO. 25, GALLE FACE CENTER ROAD, COLOMBO 03",291,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.846841,6.922654
EARLS REGENCY HOTEL,"TENNEKUMURA, KANDY",96,FIVE,Kandy,Kandy,Kandy Divisional Secretariat,80.669495,7.281795
HILTON-COLOMBO,"LOTUS ROAD,ECHELON SQUARE,COLOMBO 01",382,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.845193,6.932248
MAHAWELI REACH HOTEL,"35,P.B.A. WEERAKOON MAWATHA, KANDY",116,FIVE,Kandy,Kandy,Kandy Divisional Secretariat,80.631227,7.325148
CHAAYA BLU,"UPPAVELI, TRINCOMALEE",56,FOUR,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.217522,8.617773
HABARANA VILLAGE BY CINNAMON,"P.O. BOX. 01, HABARANA.",108,FOUR,Anuradhapura,Hingurakgoda Pradeshiya Sabha,Polonnaruwa Divisional Secretariat,80.74991,8.036549
CINNAMON CITADEL,"NO.124, SRIMATH KUDA RATWATTA MAWATHA, KANDY",121,THREE,Kandy,Kandy,Kandy Divisional Secretariat,80.624274,7.305864
HERITANCE AHUNGALLE,AHUNGALLE,154,FIVE,Galle,Galle,Galle Divisional Secretariat,80.034536,6.31218
HERITANCE TEA FACTORY,"KANDAPOLA, NUWARAELIYA",57,FOUR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.833796,6.991101
BENTOTA BEACH HOTEL,"NATIONAL HOLIDAY RESORT, BENTOTA",133,FOUR,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996543,6.424974
THE BLUE WATER,"THALPITIYA, WADDUWA",100,FIVE,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.920159,6.678167
GRAND HOTEL,"GRAND HOTEL ROAD, NUWARAELIYA",155,FOUR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.764731,6.968335
AMAYA LAKE,"P.O. BOX. 12, KANDALAMA, DAMBULLA",92,FOUR,Matale,Matale,Matale Divisional Secretariat,80.698555,7.891526
AMAYA HILLS,"P.O. BOX. 16, HEERASSAGALA, KANDY",100,FOUR,Kandy,Kandy,Kandy Divisional Secretariat,80.619224,7.259008
HILTON COLOMBO RESIDENCE,"NO. 200, UNION PLACE, COLOMBO 02",176,FOUR,Colombo,Colombo,Colombo Divisional Secretariat,79.856131,6.920386
MANDARA ROSEN HOTEL,"NO.57, DETAGAMUWA, KATARAGAMA",58,FOUR,Moneragala,Galle,Moneragala Divisional Secretariat,81.326364,6.401201
RAMADA - COLOMBO,"NO.30, SIR MOHAMED MACAN MARKAR MAWATHA, COLOMBO 03",94,THREE,Colombo,Colombo,Colombo Divisional Secretariat,79.84778,6.921261
PEGASUS REEF HOTEL,"P.O.BOX. 02, HENDALA, WATTALA",140,FOUR,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.868917,6.999892
MOUNT LAVINIA HOTEL,"NO. 100, HOTEL ROAD, MT. LAVINIA",204,FOUR,Colombo,Colombo,Colombo Divisional Secretariat,79.862043,6.833151
CLUB PALM BAY,"THALWILAWILIA, THUDUWAWA, MARAWILA",162,THREE,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,79.812589,7.434188
CLUB HOTEL DOLPHIN,"KAMMAL SOUTH, WAIKKAL",151,FOUR,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,79.839576,7.293789
JETWING BLUE,"LEWIS PLACE, NEGOMBO",108,FIVE,Gampaha,Negombo,Negombo Divisional Secretariat,79.841797,7.241616
THE DEER PARK HOTEL,"GIRITALE, POLONNARUWA",85,FOUR,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.9218,7.989152
NILAVELI BEACH HOTEL,"11TH MILE POST, NILAVELI, TRINCOMALEE",53,TWO,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.189426,8.706269
SOROWWA RESORT AND SPA,"LAKE ROAD, HABARANE",23,THREE,Anuradhapura,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.7508775,8.0405578
PALM BEACH HOTEL,"NO. 52, DE SERAM ROAD, MOUNT LAVINIA",43,ONE,Colombo,Dehiwala-Mount Lavinia,Colombo Divisional Secretariat,79.864858,6.836241
GALWAY FOREST LODGE,"NO. 89, UPPER LAKE ROAD, HAVELOCK DRIVE, NUWARA ELIYA.",52,THREE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.769993,6.980005
SENANI RESTAURANT,"NO 167, RAJAPIHILLA MAWATHA, KANDY.",27,ONE,Kandy,Kandy,Kandy Divisional Secretariat,80.643433,7.285218
GLOBAL TOWERS HOTEL,"NO.11, STATION AVENUE, COLOMBO 06.",54,THREE,Colombo,Colombo,Colombo Divisional Secretariat,79.857182,6.877516
HUNNAS FALLS HOTEL,"ELKADUWA, KANDY",31,THREE,Matale,Matale,Ukuwela Divisional Secretariat,80.690599,7.401023
GRAND ORIENTAL HOTEL,"NO.2, YORK STREET, COLOMBO 01.",72,TWO,Colombo,Colombo,Colombo Divisional Secretariat,79.845067,6.937474
OLENKA SUNSIDE BEACH HOTEL,"THALWILA, MODERAWELLA, MARAWILA",40,TWO,Puttalam,Gampaha,Gampaha Divisional Secretariat,79.813377,7.42604
HOTEL SIGIRIYA,SIGIRIYA,80,ONE,Matale,Matale,Matale Divisional Secretariat,80.763363,7.949891
THE OASIS HOTEL,"SISILASGAMA, HAMBANTOTA.",50,THREE,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.123001,6.122001
ST.ANDREWS HOTEL,"NO.10,ST.ANDREWS DRIVE,NUWARA ELIYA.",52,THREE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.763855,6.979589
CLUB BENTOTA,"PARADISE ISLAND,ALUTHGAMA.",68,TWO,Galle,Aluthgama,Aluthgama,79.991648,6.437361
JETWING SEA,"PALAGITURAI, KOCHCHIKADE, NEGOMBO.",72,FOUR,Gampaha,Gampaha,Negombo Divisional Secretariat,79.84212,7.25177
RANWELI HOLIDAY VILLAGE,WAIKKAL.,84,TWO,Puttalam,Negombo,Negombo Divisional Secretariat,79.840701,7.282694
MISUKI PLAZA HOTEL,"NO.309,COLOMBO ROAD,WELISARA,RAGAMA.",26,ONE,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,79.898618,7.033237
TANGALLE BAY HOTELS,"MAHAWELA ROAD,PALLIKKUDUWA,TANGALLE.",28,TWO,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.789152,6.01689
THE SURF,THE SURF BENTOTA.,86,TWO,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996111,6.420273
VIVANTA BY TAJ-BENTOTA,"NATIONAL HOLIDAY RESORT, BENTOTA",162,FIVE,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996423,6.417162
GOLDI SANDS HOTEL,"GOLDI SANDS HOTELS (PRIVATE) LIMITED, ETHUKALA, NEGOMBO",70,TWO,Gampaha,Negombo,Negombo Divisional Secretariat,79.841745,7.245416
HOTEL SAPPHIRE,"NO.371,GALLE ROAD,COLOMBO 06.",40,TWO,Colombo,Colombo,Colombo Divisional Secretariat,79.862144,6.870956
CENTARA CEYSANDS RESORT & SPA,"NATIONAL HOLIDAY RESORT,BENTOTA.",84,TWO,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.994388,6.430908
CAROLINA BEACH HOTEL,"AMBANKANDAWILA, CHILAW",45,TWO,Puttalam,Chilaw Pradeshiya Sabha,Chilaw Divisional Secretariat,79.787779,7.562663
DEVON HOTEL,"NO.51, AMPITIYA ROAD, KANDY.",25,TWO,Kandy,Kandy,Kandy Divisional Secretariat,80.649976,7.284506
GALLE FACE HOTEL,"NO.02, GALLE ROAD, COLOMBO 03",145,THREE,Colombo,Colombo,Colombo Divisional Secretariat,79.84648,6.920125
RENUKA HOTEL,"NO.328, GALLE ROAD, COLOMBO 03",81,THREE,Colombo,Colombo,Colombo Divisional Secretariat,79.850428,6.908535
PALM GARDEN VILLAGE HOTEL,"POST 42,PUTTALAM ROAD, PANDULAGAMA, ANURADHAPURA.",50,THREE,Anuradhapura,Madyama Nuwaragam Palatha Pradeshiya Sabawa,Anuradhapura East,80.345324,8.314734
SIGIRIYA VILLAGE HOTEL,"P.O.BOX 01, SIGIRIYA",120,THREE,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.761097,7.949584
THE PALMS,"N-91, 6TH LANE, MORAGALLA, BERUWALA",100,THREE,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.981157,6.449641
