Police_Stn,Type,Latitude,Longitude,Time,Year,Month,Date
Dematagoda,Murder,6.9303,79.8813,1400,2017,4,1
Modara,Theft,6.9648,79.8712,1800,2017,4,1
Bambalapitiya,Theft,6.8922,79.8545,1815,2017,4,2
Kirullapone,Robbery,6.8755,79.8761,2115,2017,4,2
Wellawatta,Robbery,6.8840,79.8702,1630,2017,4,2
Dematagoda,Theft,6.9318,79.8789,1630,2017,4,3
Maradana,Assult,6.9313,79.8597,2010,2017,4,3
Slave Island,Theft,6.9302,79.8485,1945,2017,4,3
Bambalapitiya,Theft,6.8957,79.8575,2135,2017,4,4
Narahenpita,Drugs,6.8895,79.8676,1430,2017,4,4
Bambalapitiya,Robbery,6.8939,79.8541,1800,2017,4,6
Borella,House Braking,6.9150,79.8827,1150,2017,4,6
Dematagoda,Theft,6.9250,79.8800,1830,2017,4,6
Kirullapone,Robbery,6.8811,79.8789,1645,2017,4,6
Maligawatta,Drugs,6.9415,79.8715,1350,2017,4,6
Wellawatta,House Braking,6.8674,79.8635,0900,2017,4,6
Slave Island,Robbery,6.9216,79.8542,1530,2017,4,7
Grand Pass,Drugs,6.9592,79.8713,1300,2017,4,8
Borella,Rape,6.9205,79.8830,2015,2017,4,10
Maradana,Theft,6.9263,79.8626,2210,2017,4,10
Borella,Theft,6.9124,79.8786,1810,2017,4,11
Dematagoda,Robbery,6.9324,79.8759,1800,2017,4,11
Kollupitiya,Theft,6.9144,79.8547,1850,2017,4,11
Wellawatta,Robbery,6.8776,79.8703,1800,2017,4,11
Grand Pass,Theft,6.9454,79.8714,2010,2017,4,12
Maligawatta,Murder,6.9379,79.8698,1950,2017,4,12
Pettha,Theft,6.9352,79.8544,1900,2017,4,12
Pettha,Theft,6.9367,79.8525,1950,2017,4,12
Narahenpita,House Braking,6.8910,79.8834,0930,2017,4,13
Pettha,Robbery,6.9389,79.8529,1650,2017,4,13
Pettha,Theft,6.9362,79.8543,1850,2017,4,13
Pettha,Theft,6.9350,79.8555,1920,2017,4,13
Pettha,Theft,6.9360,79.8503,1800,2017,4,13
Pettha,Theft,6.9386,79.8522,1945,2017,4,13
Maligawatta,Assult,6.9363,79.8675,2150,2017,4,14
Modara,Theft,6.9691,79.8698,2315,2017,4,14
Armour_Street,Robbery,6.9375,79.8556,1545,2017,4,15
Dematagoda,Robbery,6.9297,79.8728,1530,2017,4,15
Kotahena,Robbery,6.9513,79.8666,1630,2017,4,15
Wellawatta,Theft,6.8791,79.8704,1915,2017,4,15
Kotahena,Robbery,6.9565,79.8631,1830,2017,4,16
Kotahena,Assult,6.9448,79.8621,1945,2017,4,16
Dematagoda,House Braking,6.9243,79.8770,0830,2017,4,17
Kollupitiya,Theft,6.9235,79.8465,1625,2017,4,17
Modara,House Braking,6.9577,79.8588,0315,2017,4,17
Grand Pass,House Braking,6.9606,79.8766,1600,2017,4,18
Pettha,Murder,6.9375,79.8522,1315,2017,4,18
Slave Island,House Braking,6.9235,79.8501,1615,2017,4,18
Dematagoda,House Braking,6.9252,79.8818,0830,2017,4,19
Armour_Street,Robbery,6.9398,79.8633,1630,2017,4,20
Grand Pass,Robbery,6.9521,79.8717,1715,2017,4,20
Grand Pass,Assult,6.9526,79.8710,1230,2017,4,20
Grand Pass,Theft,6.9533,79.8756,1710,2017,4,21
Kotahena,House Braking,6.9452,79.8578,1630,2017,4,21
Dematagoda,Robbery,6.9301,79.8694,1510,2017,4,22
Modara,Robbery,6.9774,79.8780,1325,2017,4,22
Maligawatta,Robbery,6.9420,79.8741,1520,2017,4,23
Bambalapitiya,Robbery,6.8908,79.8543,1945,2017,4,24
Modara,House Braking,6.9663,79.8660,1600,2017,4,24
Pettha,House Braking,6.9366,79.8532,1545,2017,4,24
Wellawatta,House Braking,6.8753,79.8668,0800,2017,4,24
Dematagoda,Theft,6.9315,79.8749,1910,2017,4,25
Kotahena,House Braking,6.9415,79.8551,1430,2017,4,25
Maradana,House Braking,6.9286,79.8736,0830,2017,4,25
Maradana,Robbery,6.9211,79.8669,1610,2017,4,25
Slave Island,House Braking,6.9213,79.8518,1030,2017,4,25
Slave Island,Assult,6.9209,79.8510,1845,2017,4,25
Grand Pass,Theft,6.9587,79.8773,1530,2017,4,26
Kotahena,Theft,6.9483,79.8638,2030,2017,4,26
Grand Pass,Robbery,6.9445,79.8714,1925,2017,4,27
Maligawatta,Rape,6.9342,79.8712,1900,2017,4,27
Maradana,House Braking,6.9239,79.8655,0250,2017,4,27
Maradana,House Braking,6.9265,79.8740,0115,2017,4,28
Modara,Murder,6.9737,79.8792,1830,2017,4,28
Fort,Assult,6.9339,79.8433,1945,2017,4,29
Armour_Street,Murder,6.9399,79.8611,1215,2017,4,30
Grand Pass,Murder,6.9599,79.8734,2100,2017,4,30
Wellawatta,Drugs,6.8802,79.8683,1245,2017,4,30
