Police_Stn,Type,Latitude,Longitude,Time,Year,Month,Date
Bambalapitiya,Rape,6.8900,79.8547,1945,2017,6,1
Grand Pass,Murder,6.9478,79.8768,2130,2017,6,1
Slave Island,House Braking,6.9221,79.8506,1500,2017,6,1
Wellawatta,Robbery,6.8765,79.8707,1200,2017,6,3
Bambalapitiya,Theft,6.8851,79.8598,1745,2017,6,5
Dematagoda,Murder,6.9320,79.8755,1145,2017,6,5
Grand Pass,Rape,6.9566,79.8713,2230,2017,6,5
Pettha,Theft,6.9381,79.8510,1650,2017,6,5
Borella,Drugs,6.9162,79.8756,1350,2017,6,6
Maradana,Assult,6.9260,79.8681,2210,2017,6,6
Pettha,Theft,6.9355,79.8513,1810,2017,6,6
Bambalapitiya,Theft,6.8829,79.8583,1615,2017,6,7
Maradana,Theft,6.9252,79.8664,2215,2017,6,7
Pettha,Theft,6.9372,79.8513,2000,2017,6,7
Slave Island,Drugs,6.9159,79.8584,1600,2017,6,8
Kollupitiya,Robbery,6.9088,79.8497,1625,2017,6,9
Pettha,Robbery,6.9385,79.8536,1515,2017,6,9
Grand Pass,Theft,6.9436,79.8750,2125,2017,6,10
Kollupitiya,Robbery,6.8978,79.8552,0930,2017,6,10
Maligawatta,Assult,6.9337,79.8715,2030,2017,6,11
Narahenpita,Murder,6.8831,79.8635,1200,2017,6,12
Wellawatta,House Braking,6.8784,79.8613,0915,2017,6,12
Kollupitiya,Theft,6.9102,79.8529,1930,2017,6,13
Modara,Theft,6.9760,79.8810,1715,2017,6,13
Pettha,House Braking,6.9367,79.8518,1600,2017,6,13
Dematagoda,Robbery,6.9280,79.8789,1645,2017,6,15
Fort,House Braking,6.9310,79.8463,0900,2017,6,15
Grand Pass,House Braking,6.9551,79.8745,2030,2017,6,15
Kurunduwaththa,Drugs,6.9058,79.8638,1330,2017,6,15
Modara,Assult,6.9662,79.8696,1950,2017,6,15
Wellawatta,Theft,6.8763,79.8695,1615,2017,6,15
Fort,Robbery,6.9329,79.8469,1500,2017,6,16
Grand Pass,Theft,6.9489,79.8746,2015,2017,6,16
Grand Pass,Drugs,6.9475,79.8727,1345,2017,6,16
Kotahena,House Braking,6.9536,79.8660,1600,2017,6,16
Fort,Robbery,6.9321,79.8459,1700,2017,6,17
Grand Pass,Theft,6.9492,79.8715,2220,2017,6,17
Armour_Street,Theft,6.9402,79.8582,1645,2017,6,18
Kollupitiya,Assult,6.8983,79.8585,1500,2017,6,18
Armour_Street,Assult,6.9405,79.8668,1915,2017,6,20
Maligawatta,Murder,6.9369,79.8745,2030,2017,6,20
Kotahena,Theft,6.9498,79.8616,1820,2017,6,21
Kotahena,Theft,6.9544,79.8619,1930,2017,6,22
Maligawatta,Robbery,6.9386,79.8706,1325,2017,6,22
Wellawatta,Robbery,6.8693,79.8645,1915,2017,6,22
Armour_Street,Robbery,6.9386,79.8656,1000,2017,6,23
Grand Pass,Robbery,6.9389,79.8691,1625,2017,6,24
Modara,Robbery,6.9717,79.8741,1550,2017,6,26
Grand Pass,Assult,6.9597,79.8741,2015,2017,6,27
Armour_Street,Robbery,6.9392,79.8573,1230,2017,6,28
Kirullapone,Theft,6.8824,79.8798,2000,2017,6,28
Modara,House Braking,6.9763,79.8787,0930,2017,6,28
Modara,Robbery,6.9739,79.8741,1930,2017,6,28
Dematagoda,Theft,6.9295,79.8776,1915,2017,6,29
Kirullapone,Robbery,6.8803,79.8798,1515,2017,6,29
Maligawatta,House Braking,6.9358,79.8671,1030,2017,6,29
Modara,Robbery,6.9697,79.8773,1830,2017,6,29
Maligawatta,House Braking,6.9357,79.8713,0915,2017,6,30
Maligawatta,Drugs,6.9422,79.8754,1415,2017,6,30
Maradana,Drugs,6.9201,79.8629,1315,2017,6,30
Slave Island,Murder,6.9230,79.8513,2200,2017,6,30
