Police_Stn,Type,Latitude,Longitude,Time,Year,Month,Date
Fort,Drugs,6.9339,79.8444,1700,2017,3,1
Grand Pass,Murder,6.9504,79.8727,2145,2017,3,1
Modara,Drugs,6.9619,79.8636,1300,2017,3,2
Narahenpita,Theft,6.8898,79.8651,1950,2017,3,2
Kirullapone,Robbery,6.8743,79.8804,1815,2017,3,3
Maligawatta,Theft,6.9369,79.8711,2115,2017,3,3
Dematagoda,Theft,6.9288,79.8839,1645,2017,3,4
Kirullapone,Robbery,6.8879,79.8778,1700,2017,3,4
Slave Island,Robbery,6.9288,79.8514,1515,2017,3,4
Dematagoda,Theft,6.9294,79.8792,1815,2017,3,5
Armour_Street,Theft,6.9389,79.8611,2100,2017,3,6
Pettha,Theft,6.9358,79.8530,1710,2017,3,6
Pettha,Rape,6.9389,79.8517,2045,2017,3,6
Pettha,Drugs,6.9367,79.8511,1400,2017,3,6
Slave Island,Robbery,6.9191,79.8502,1420,2017,3,6
Kirullapone,House Braking,6.8759,79.8830,1430,2017,3,7
Armour_Street,Theft,6.9422,79.8598,1600,2017,3,8
Bambalapitiya,Robbery,6.8819,79.8564,1650,2017,3,8
Kurunduwaththa,House Braking,6.9108,79.8732,1950,2017,3,8
Maligawatta,Murder,6.9341,79.8730,1750,2017,3,8
Slave Island,Robbery,6.9225,79.8501,1630,2017,3,8
Slave Island,Theft,6.9256,79.8541,1715,2017,3,8
Wellawatta,House Braking,6.8665,79.8598,1500,2017,3,8
Armour_Street,Robbery,6.9410,79.8594,1400,2017,3,9
Borella,House Braking,6.9195,79.8692,1750,2017,3,9
Maligawatta,Assult,6.9395,79.8712,2000,2017,3,9
Armour_Street,House Braking,6.9375,79.8582,0800,2017,3,10
Dematagoda,House Braking,6.9286,79.8681,0550,2017,3,10
Modara,Theft,6.9757,79.8748,1600,2017,3,11
Borella,Theft,6.9194,79.8749,2015,2017,3,13
Dematagoda,House Braking,6.9290,79.8809,1130,2017,3,13
Kotahena,Robbery,6.9445,79.8607,1545,2017,3,14
Narahenpita,House Braking,6.8986,79.8661,1330,2017,3,14
Wellawatta,Theft,6.8780,79.8580,1800,2017,3,14
Bambalapitiya,Murder,6.8929,79.8570,2000,2017,3,15
Bambalapitiya,Drugs,6.8930,79.8582,1430,2017,3,15
Grand Pass,House Braking,6.9449,79.8775,1130,2017,3,15
Grand Pass,Theft,6.9478,79.8773,2035,2017,3,15
Kirullapone,House Braking,6.8732,79.8868,1550,2017,3,15
Maradana,Theft,6.9329,79.8667,2215,2017,3,15
Pettha,Robbery,6.9345,79.8505,1730,2017,3,15
Pettha,Murder,6.9373,79.8537,1200,2017,3,15
Slave Island,House Braking,6.9231,79.8539,1430,2017,3,15
Borella,House Braking,6.9156,79.8869,0730,2017,3,16
Borella,House Braking,6.9215,79.8854,0930,2017,3,16
Kollupitiya,Theft,6.8985,79.8532,1600,2017,3,16
Kotahena,House Braking,6.9556,79.8656,1800,2017,3,16
Narahenpita,House Braking,6.8934,79.8729,1630,2017,3,16
Bambalapitiya,House Braking,6.8807,79.8570,1300,2017,3,17
Kirullapone,House Braking,6.8723,79.8824,1600,2017,3,17
Kotahena,Assult,6.9528,79.8624,1850,2017,3,17
Narahenpita,House Braking,6.8960,79.8659,1545,2017,3,17
Borella,Robbery,6.9184,79.8720,1945,2017,3,18
Kotahena,Theft,6.9434,79.8629,1400,2017,3,18
Kurunduwaththa,Robbery,6.9081,79.8595,1425,2017,3,18
Borella,Robbery,6.9033,79.8784,2000,2017,3,19
Wellawatta,Theft,6.8683,79.8620,2250,2017,3,19
Kotahena,Theft,6.9435,79.8576,1430,2017,3,20
Narahenpita,Robbery,6.8918,79.8796,1415,2017,3,20
Wellawatta,Drugs,6.8816,79.8652,1515,2017,3,20
Dematagoda,Robbery,6.9314,79.8728,1015,2017,3,21
Maligawatta,Robbery,6.9358,79.8737,1310,2017,3,21
Modara,House Braking,6.9644,79.8772,1730,2017,3,21
Pettha,Murder,6.9394,79.8531,2000,2017,3,21
Dematagoda,House Braking,6.9317,79.8816,0430,2017,3,22
Grand Pass,Robbery,6.9485,79.8701,1415,2017,3,22
Grand Pass,Theft,6.9557,79.8770,1620,2017,3,22
Grand Pass,Assult,6.9572,79.8686,1850,2017,3,22
Kotahena,House Braking,6.9528,79.8610,1930,2017,3,22
Armour_Street,Robbery,6.9397,79.8601,1930,2017,3,23
Borella,Theft,6.9203,79.8756,2200,2017,3,23
Grand Pass,Theft,6.9551,79.8725,1310,2017,3,23
Kollupitiya,House Braking,6.9000,79.8586,1130,2017,3,23
Armour_Street,Theft,6.9361,79.8648,1745,2017,3,24
Maligawatta,Murder,6.9429,79.8741,2245,2017,3,24
Maradana,Drugs,6.9218,79.8766,1500,2017,3,24
Modara,House Braking,6.9688,79.8718,1615,2017,3,24
Bambalapitiya,Robbery,6.8842,79.8592,2000,2017,3,25
Dematagoda,Rape,6.9320,79.8738,2100,2017,3,25
Maligawatta,Drugs,6.9388,79.8719,1345,2017,3,25
Grand Pass,Assult,6.9532,79.8741,2200,2017,3,26
Kotahena,Theft,6.9473,79.8588,2115,2017,3,27
Maradana,Robbery,6.9180,79.8684,1610,2017,3,27
Pettha,Murder,6.9366,79.8492,2030,2017,3,27
Grand Pass,Robbery,6.9440,79.8744,1300,2017,3,28
Kollupitiya,Drugs,6.9044,79.8508,1445,2017,3,28
Slave Island,House Braking,6.9194,79.8520,1230,2017,3,28
Kotahena,Theft,6.9538,79.8649,2350,2017,3,29
Armour_Street,Drugs,6.9366,79.8571,1400,2017,3,30
Dematagoda,Assult,6.9274,79.8812,1800,2017,3,30
Kirullapone,Theft,6.8713,79.8783,1615,2017,3,30
Slave Island,Assult,6.9193,79.8585,2010,2017,3,30
Grand Pass,Murder,6.9586,79.8706,2200,2017,3,31
