Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
ALMAMALI HOTEL,"HEDAKETIYA,ANGUNUKOLAPELESSA",12,B,Hambantota,Batticaloa,Angunakolapelessa Divisional Secretariat,80.8983713,6.164142
BUWANEKA HOTEL AND RESTAURANT,"NO 01,DAMBULLA ROAD,KURUNEGALA",7,B,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,80.3626379,7.4893989
HOTEL LAGOON PARADISE,"NO. 12/7,RAJAWATTE,PAMUNUGAMA",8,A,Gampaha,Negombo,Negombo Divisional Secretariat,79.838623,7.135494
AMBASEVANA WALAUWA,"ARANAYAKE ROAD,USSAPITIYA,KEGALLE.",7,A,Kegalle,Kegalle,Aranayaka Divisional Secretariat,80.442372,7.248193
ACME GUEST HOUSE,"NO.90,POLONNARUWA ROAD,HABARANA",5,B,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,NULL,NULL
AHANGAMA EASY BEACH,"NO.12,AHANGAMA GALLE.",8,A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL
SHANGRELA BEACH RESORT,"38, SEA BEACH ROAD, AMBALANGODA",19,B,Galle,Ambalangoda,Galle Divisional Secretariat,80.051208,6.237265
GRAND CROWN HOTEL,"891,MILAGAS JUNCTION,ANURADHAPURA",10,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.4063884,8.3208563
SAKURA TOURIST INN,"7/1,OLD STATION ROAD,MOUNT LAVINIA.",12,B,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,NULL,NULL
JAYALATH INN,"NO.269,WELIGAMPITIYA, JAELA",6,C,Gampaha,Gampaha,Ja-Ela Divisional Secretariat,79.894116,7.068365
NUGASEWANA EDEN GUEST HOUSE AND RESTAURANT,"""NUGASEWANA"",PALLIKKUDAWA,TANGALLE.",6,B,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.788431,6.017925
VIVEKA GUEST HOUSE,"64,NORTH LAKE ROAD,KURUNAGALA.",5,A,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,80.364746,7.496378
HOTEL NATURE GARDENS,"NO.31,KANDY ROAD,YAKKALA",9,A,Gampaha,Gampaha,Gampaha Divisional Secretariat,NULL,NULL
JULIANA HOTEL,"NO.316,GALLE ROAD,COLOMBO 3",51,A,Colombo,Colombo,Colombo Divisional Secretariat,79.850259,6.90929
FINOMINAL GUEST,"MULANAGODA ROAD, ANGUNUKOLAPELASSA.",6,A,Hambantota,Angunakolapelessa,Angunakolapelessa Divisional Secretariat,NULL,NULL
THALAGALA HOLIDAY INN,"222/A,THALAGALAWATTA ROAD,KIRIWATTUDUWA.",9,B,Kalutara,Horana Pradeshiya Sabha,Horana Divisional Secretariat,NULL,NULL
HOTEL RAJIU PALACE,"NO. 69, GREEN STATE, BINGIRIYA",12,A,Kurunegala,Bingiriya Pradeshiya Sabha,Bingiriya Divisional Secretariat,NULL,NULL
THE BLUE MAGPIE,"KUDAWA WEDDAGALA, KALAWANA",12,A,Ratnapura,Ratnapura,Kalawana Divisional Secretariat,80.417373,6.443468
RAMBODA FALLS HOTEL,"76, ROCK FALL ESTATE, NUWARA ELIYA ROAD, RAMBODA",24,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.698155,7.055811
LAKE LODGE GUEST HOUSE,"NO.20, ALWIS TERRACE, COLOMBO 03.",13,A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.854373,6.914976
ASNARA VILLAGE,"MORAGASWEWA,HABARANA.",12,A,Polonnaruwa,Hingurakgoda Pradeshiya Sabha,Hingurakgoda Divisional Secretariat,80.779024,8.031269
POLWATHTHA ECO-LODGES,"69/1, WEPATHANA, GOMAGODA.",5,B,Kandy,Kandy,Kundasale Divisional Secretariat,80.73704,7.326892
HOTEL SANDA DIYA,"POLONNARUWA ROAD,PELWEHERA,DAMBULLA.",6,A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.677257,7.910221
NEW PANORAMA,"NO 302/1, MARADANA ROAD, MORAGALLA, BERUWALA",9,B,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.97774,6.457364
BATTICALOA HOLIDAY RESORT,"KALMUNAI MAIN ROAD, KALUWANCHIKUDI",7,A,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,NULL,NULL
MARINA BENTOTA,"PARADISE ISLAND, NATIONAL HOLIDAY RESORT, BENTOTA.",13,A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.994808,6.428809
PEARL CLIFF HOTEL,"NO.25C, BROWNS HILL, MATARA",10,A,Matara,Matara,Matara Divisional Secretariat,80.565161,5.942197
HOTEL REHANS,KANDALAMA MIRIGAMA,6,A,Gampaha,Gampaha,Mirigama Divisional Secretariat,NULL,NULL
CANTALOUPE VILLAS,"MATARA ROAD, PALATUGAHA JUNCTION, HABARADUWA",16,A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.294133,5.994196
ROYAL GARDEN GUEST HOUSE,"200,HOROWAPOTHANA ROAD,VAVUNIYA",5,B,Vavuniya,Vavuniya,Vavuniya,80.501698,8.754049
DAMPE VILLAGE,"222,DAMPE,MADAPATHA.",11,A,Colombo,Kesbewa,Kesbewa Divisional Secretariat,79.915921,6.771875
LUFORTUNE,"NO.108,108/1,108/B, SIRIBOPURA, HAMBANTOTA.",10,B,Hambantota,Hambantota,Hambantota Divisional Secretariat,NULL,NULL
JASMINE INN,"MATARA ROAD, TALPE",12,B,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.266027,5.999494
HOTEL CANOLACK,"NO.10,PILANA ROAD,HABARADUWA.",8,A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,5.99471
AQUA PEARL LAKE RESORT,"201, GALKANUWA ROAD, GORAKANA MORATUWA",20,A,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.909622,6.763687
AQUARIUS RESORT,"BEACH ROAD, MARAWILA.",20,A,Puttalam,Puttalam Pradeshiya Sabha,Mahawewa Divisional Secretariat,NULL,NULL
SEA PORT GUEST HOUSE,"NO.70, ETHUKALA, NEGOMBO",10,A,Gampaha,Negombo,Negombo Divisional Secretariat,79.841867,7.240334
BRIGHTEN REST,"214/2, MESSENGER STREET , COLOMBO 12",24,A,Colombo,Colombo,Colombo Divisional Secretariat,79.863959,6.94154
COTTAGE TOURIST REST,"388/38, HARISCHANDRA MAWATHA, ANURADHAPURA",6,B,Anuradhapura,Anuradhapura,Anuradhapura East,80.416088,8.332007
SHESHESU GUEST HOUSE & WEDDING HALL,"SHESHESU GUEST HOUSE,OLD BATAPOLA ROAD,KURUDUGAHA HATAPMA,ELPITIYA.",6,B,Galle,Ambalangoda,Karandeniya Divisional Secretariat,NULL,NULL
SHEHARA HOTEL,"KOLAWAGAHAKANATHTHA,KOMANGODA,THIHAGODA.",5,B,Matara,Thihagoda Pradeshiya Sabha,Thihagoda Divisional Secretariat,NULL,NULL
GIHANS FAMILY RESTAURANT AND GUEST,"NO 90, S. D. S JAYASINGHE MAWATHA, KOHUWALA",5,B,Colombo,Dehiwala-Mount Lavinia,Colombo Divisional Secretariat,79.908237,6.857903
LINROSE HOTEL,"175/1, KANDY ROAD, ALUTHGAMA, BOGAMUWA, YAKKALA",9,A,Gampaha,Gampaha,Gampaha Divisional Secretariat,80.048479,7.109119
DHARSHANA RESTAURANT,"MATARA ROAD, MAKANDURA",5,B,Matara,Mulatiyana Pradeshiya Sabha,Mulatiyana Divisional Secretariat,80.556558,6.138621
VILLA YASMIN,"VILLA YASMIN, MARADANA ROAD, MORAGALLA, BERUWALA",6,A,Kalutara,Beruwala Pradeshiya Sabha,Kalutara Divisional Secretariat,NULL,NULL
JADE WAY HOTEL & RESORT,"VIDYALOKA MAWATHA, PALLEGAMA EMBILIPITIYA",11,B,Ratnapura,Embilipitiya,Embilipitiya Divisional Secretariat,NULL,NULL
MONREPO GUEST HOUSE AND RESTAURANT,"NO 107, GALA JUNCTION KANDY ROAD KIRIBATHGODA",17,B,Gampaha,Mahara Pradeshiya Sabha,Gampaha Divisional Secretariat,79.932947,6.984369
THE OTHER CORNER,"LAKSIRIGAMA, PALIGASWEWA, HABARANA",9,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.742822,8.038626
NEW KOTHMALE HOLIDAY RESORT,"RIVER SIDE,MAWATURA,GAMPOLA.",5,A,Kandy,Gampola,Kandy Divisional Secretariat,80.594895,7.063906
HOTEL GREEN PALACE,"57/30, NITTAMBUWA ROAD, VEYANGODA",15,A,Gampaha,Attanagalla Pradeshiya Sabha,Attanagalla Divisional Secretariat,NULL,NULL
WAGON WHEEL,"245/1, HILL HOUSE GARDENS,DEHIWALA.",5,A,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,79.866431,6.851757
JAFFNA REST,"NO.16.RAJESHWARI WEETHI,NAYANAMARKADU,JAFFNA.",5,B,Jaffna,Jaffna,Thirukkovil Divisional Secretariat,NULL,NULL
SOUTH STAR HOTEL,"KABALANA ROAD,KATHALUWA,AHANGAMA.",12,A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL
SOBA LANKA HOLIDAY RESORT,"BALAWATTALA ROAD, MELSIRIPURA.",9,B,Kurunegala,Ibbagamuwa Pradeshiya Sabha,Ibbagamuwa Divisional Secretariat,80.505763,7.626349
NEW WADDUWA BEACH RESORT,"NO 14, RATHNAYAKA PLACE, THALPITIYA SOUTH, WADDUWA",11,A,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.922276,6.673997
COLOMBO SWIMMING CLUB,"STORM LODGE, NO 148, GALLE ROAD, COLOMBO 03",17,A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.847602,6.914766
RIVERDALE VILLAS,"NO 46, GALLE ROAD, MORAGALLA, ALUTHGAMA",8,A,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.990433,6.445542
NITHILA INN,"228/J, BANDARAGAMA ROAD, KESBEWA",6,B,Colombo,Kesbewa,Kesbewa Divisional Secretariat,79.940755,6.794258
DIL REST,"RATNAPURA ROAD, GURUGODA, HORANA",6,A,Kalutara,Horana Pradeshiya Sabha,Horana Divisional Secretariat,80.099906,6.730412
