Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
THE VIEW,"LOT NO- 27, GLENLOCH ESTATE, KATUKITULA",2,DELUXE,Nuwara Eliya,Pundaluoya,Kothmale Divisional Secretariat,NULL,NULL
HOLIDAY NEST,"20/1A, 3RD LANE,DALADAWATTA ROAD, THALPITIYA,WADDUWA",4,SUPERIOR,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.926281,6.675791
VICTORIA VIEW BUNGALOW,"POWRUGOLLA ESTATE, TELDENIYA",1,DELUXE,Kandy,Kandy,Udadumbara Divisional Secretariat,NULL,NULL
NENE,"22/6B, KALYANI ROAD, PAMANKADA, COLOMBO 06",1,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
HIDE AWAY,"5/1, UDYANA MAWATHA, NUGEGODA",2,STANDARD,Colombo,Colombo,Maharagama Divisional Secretariat,NULL,NULL
ONLAK,"NO 8, NELUMPURA, THELEWALA, RATMALANA",4,SUPERIOR,Colombo,Moratuwa,Moratuwa Divisional Secretariat,NULL,NULL
AURORA,"9/8, 1/1, DE SARAM ROAD, MOUNT LAVINIA.",7,SUPERIOR,Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,79.8625913,6.8418553
VILLA SHADE,"ARUNA MAWATHA, KATANA ROAD, THIMBIRIGASKATUWA, NEGAMBO.",4,DELUXE,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.870338,7.232815
JULIYAN VILLA,"127/8, SANDUN UYANA, PILIMATALAWA.",4,SUPERIOR,Kandy,Kandy,Yatinuwara Divisional Secretariat,80.5507443,7.2569323
MISTY VIEW COTTAGE HOME STAY EXPERIANCE,"509/11,SANASA HOLIDAY RESORT, TOP PASS,KANDY ROAD, NUWARA ELIYA.",2,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.747958,6.9905755
