Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
LOTUS APARTMENT,"72 2/1D, CARLTON RESIDENCIES, PAPILIYANA RD,NADIMALA, DEHIWALA",2,SUPERIOR,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,NULL,NULL
LILY,"72 3/1E, CARLTON RESIDENCIES, PAPILIYANA ROAD, NADIMALA, DEHIWALA.",1,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
COTTAGE GARDEN BUNGALOWS,"42-48, COLLEGE AVENUE, MOUNT LAVINIA",3,STANDARD,Colombo,Colombo,Colombo Divisional Secretariat,79.864464,6.838671
HOLIDAY RESIDENT SEREDEEP,"70/2, BADDAGANA NORTH, KOTTE",1,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
LAVINIA GARDEN BUNGALOW,"38 - 40, COLLEGE AVENUE, MOUNT LAVINIA",2,STANDARD,Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,NULL,NULL
CINNAMON PENTHOUSE,"24-3F CRESCAT RESIDANCIES, NO75, GALLE ROAD, COLOMBO 03.",5,DELUXE,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.84808,6.917928
MILAN SQUARE,"7/5, 10, 37TH LANE, COLOMBO 06",3,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,79.862908,6.869139
STATION COURT,"3/3, 19, WELLAWATTE ROAD, COLOMBO 6",3,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,79.8582943,6.8746633
SANILKA ESTATE,"HENYAYA, BODAGAMA, THANAMALWILA",4,SUPERIOR,Moneragala,Thanamalwila Pradeshiya Sabha,Thanamalvila Divisional Secretariat,NULL,NULL
CITY BEDS THE REGENT,"201/2, NEW REGENT BUILDING, COLOMBO 2",5,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
OHM FROM OHM,"457/18, MILLAGAHA WATTE, NAWALA ROAD, RAJAGIRIYA.",2,SUPERIOR,Colombo,Kotte Muncipal Council,Colombo Divisional Secretariat,NULL,NULL
NIRANA APARTMENT,"21, CHAPEL ROAD, NUGEGODA",2,SUPERIOR,Colombo,Kotte Muncipal Council,Nugegoda Divisional Secretariat,79.886749,6.871861
FLOWER GARDEN STAY,"157/13, SAUSIRI UYANA, PITTUGALA, MALABE",2,SUPERIOR,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,NULL,NULL
BERALIYA,"BATAPOLA ROAD, KAHAWA",8,SUPERIOR,Galle,Galle,Hikkaduwa Divisional Secretariat,NULL,NULL
SIRIMAL HOME REST,"MAKAN WATTE, GODAKANDA, GALLE",3,SUPERIOR,Galle,Bope,Bope-Poddala Divisional Secretariat,NULL,NULL
SCHONE VILLA,"HARBOUR ROAD, MIRISSA-SOUTH",2,SUPERIOR,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,NULL,NULL
AMALI HOME STAY,"258/C, BOWALAWATTE, KANDY",1,STANDARD,Kandy,Kandy,Gagawata,80.617781,7.259649
GOLDEN VILLA,"NAGAHA JUNCTION, PANWILA, HIKKADUWA",2,SUPERIOR,Galle,Galle,Hikkaduwa Divisional Secretariat,NULL,NULL
PINE STUDIO,"15/3, ASHLEY HILLS RESIDENCIES, LADY MACCULUM DRIVE, NUWARA ELIYA",1,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.769601,6.976232
SJS RESIDENCE,"NO 22, RAMANI MAWATHA, NEGAMBO",2,DELUXE,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL
ANNIWATTE COTTAGE,"4/36, PITAKANDA ROAD, ANNIWATTE, KANDY",2,SUPERIOR,Kandy,Kandy,GANGAWATA KORALAYA,80.61939,7.287361
ROMANS REASIDENCE,"ROMANS RESIDENCE, KURUNEGALA ROAD,. NEW TOWN, MADAMPE",2,STANDARD,Puttalam,Chilaw Pradeshiya Sabha,Chilaw Divisional Secretariat,NULL,NULL
NANAYAKKARA LODGE,"117/24A, PEIRIS MAWATHA, KALUBOWILA, DEHIWALA",2,STANDARD,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,NULL,NULL
HOME STAY MATARA,"1/9 B, BROWNS HILL, MATARA",3,SUPERIOR,Matara,Matara,Matara Divisional Secretariat,80.561313,5.943112
ALPINE RIDGE APARTMENT,"8/8 A, PITAKANDA ROAD, ARUPPOLA, KANDY",4,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
THE RESIDENCE ON CHITRA,"35, CHITRA LANE, COLOMBO 5",4,STANDARD,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
NIMACRO,"23/1/7, HAWAII RESIDENCIES, SAGARA ROAD, COLOMBO 4",2,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
NORTHWOOD RESIDENCE,"NO 414/1, ROMEN PARK, MUDUKATUWA, MARAWILA",3,SUPERIOR,Puttalam,Nattandiya Pradeshiya Sabha,Nattandiya Divisional Secretariat,79.831006,7.391675
SELFCATE-KANDY,"NO. 29/262A, SHANTHI KUMAR RAMASINGHE MAWATHA, AMPITIYA ROAD, KANDY",6,SUPERIOR,Kandy,Kandy,Gagawata,80.651033,7.28552
