Name,Address,Rooms,District,AGA Division,PS/MC/UC,Logitiute,Latitude
THE GATEWAY HOTEL AIRPORT GARDEN COLOMBO,"234/238, COLOMBO-NEGOMBO ROAD, SEEDUWA",309,Gampaha,Negombo,Negombo Divisional Secretariat,79.86942,7.143205
CORAL ROCK BY BANSEI,"NO.340, GALL ROAD, HIKKADUWA",30,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.100061,6.134378
LAVENDISH WILD SAFARI HOTEL,"NO 01 ELA, HANDUNGAMUWA, WASGAMUWA, MATALE",24,Matale,Matale,Matale Divisional Secretariat,80.925984,7.618698
SIDDHALEPA AYURVEDA HEALTH RESORT,"SAMANTHARA ROAD, WADDUWA",50,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.935723,6.642573
ROYAL PALMS BEACH HOTEL,"DE ABREW ROAD, WASKADUWA, KALUTARA",123,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.948656,6.610027
SEA LOTUS PARK HOTEL,"NO.33,ALLESGARDEN,TRINCOMALEE.",25,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.218406,8.614524
PARADISE RESORT PASIKUDAH,"COCONUT BOARD ROAD,PASSIKUDHA.",42,Batticaloa,Batticaloa,Koralai Pattu Divisional Secretariat,NULL,NULL
AVANI KALUTARA RESORT,"40,ST. SEBASTIANS ROAD,KATUKURUNDA, KALUTARA",105,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.960416,6.568479
HOTEL LANKA PARADISE,"1/9, AMARASENA MAWATHA, HIKKADUWA.",21,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.102984,6.139194
WELCOMBE HOTEL,"NO. 66, LOWER ROAD, ORRS HILL, TRINCOMALEE",20,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.215834,8.570034
THILANKA RESORTS & SPA,"NO.51,GODAWALAYAYA,MORAGOLLA,DAMBULLA.",12,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.6552693,7.8221483
HOTEL LANKA SUPER CORALS,"NO.390,GALLE ROAD,HIKKADUWA.",100,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.102295,6.129903
ELEPHANT REACH HOTEL,"YALA JUNCTION,KIRINDA TISSAMAHARAMA.",28,Hambantota,Hambantota,Thissamaharama Divisional Secretariat,81.331186,6.228965
JETWING BEACH,"ETHUKALA,NEGOMBO.",78,Gampaha,Negombo,Negombo Divisional Secretariat,79.841713,7.243757
JETWING LIGHTHOUSE,"DADELLA,GALLE.",85,Galle,Galle,Galle Divisional Secretariat,80.194348,6.042663
JETWING LAGOON,"PAMUNUGAMA ROAD, THALHENA,NEGOMBO.",55,Gampaha,Negombo,Negombo Divisional Secretariat,79.8237105,7.1680341
THE SAFARI,TISSAMAHARAMA,57,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.291211,6.287747
THE LAKE,"NEW TOWN, POLONNNARUWA.",40,Polonnaruwa,Polonnaruwa,Thamankaduwa Divisional Secretariat,80.992612,7.924354
SERENE GRAND HOTEL,"NO.113, RAJAPIHILLA MAWATHA, KANDY",21,Kandy,Kandy,Kandy Divisional Secretariat,80.641491,7.286564
DICKWELLA RESORT,"BATEEGAMA,DICKWELLA.",61,Matara,Matara,Dickwella Divisional Secretariat,80.685998,5.959117
AYURVEDA PARAGON,"P.O.BOX 01, 80615, TALPE",82,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.284404,5.995887
THE TOURMALINE,"ANNIEWATTE, KANDY",24,Kandy,Kandy,Ganga Ihala Korale Divisional Secretariat,80.625623,7.291288
JETWING AYURVEDA,"NO.14, ETTHUKALA, NEGOMBO",12,Gampaha,Negombo,Negombo Divisional Secretariat,79.841884,7.236983
GREEN PARADISE AGRO ECO HOTEL,"KUBUKKADANWALA,DAMBULLA.",67,Matale,Matale,Matale Divisional Secretariat,80.733751,7.899706
CORAL SANDS HOTEL,"326,GALLE ROAD,HIKKADUWA.",72,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.099676,6.136629
ROYAL CASTLE,"140,LEWIS PLACE,NEGOMBO.",20,Gampaha,Negombo,Negombo Divisional Secretariat,79.840848,7.228003
PELWEHERA VILLAGE RESORT,"BULAGALA JUNCTION,PELWEHERA,DAMBULLA.",16,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.669359,7.903622
HOTEL THILANKA,"NO.3,SANGAMITTA MAWATHA,KANDY.",86,Kandy,Kandy,Kandy Divisional Secretariat,80.645743,7.291327
TURYAA - KALUTARA,"KUDAWASKADUWA, KALUTARA",96,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9387718,6.6289085
BANDARAWELA HOTEL,"NO 14, WELIMADA ROAD, BANDARAWELA",33,Badulla,Bandarawela Pradeshiya Sabha,Bandarawela Divisional Secretariat,80.989062,6.831583
HARIDRA RESORT & SPA,"921,PARALLEL ROAD,POHODDARAMULLA,WADDUWA.",32,Kalutara,Kalutara Pradeshiya Sabha,Wadduwa,79.934133,6.644964
